OrderID,Date,CustomerID,CustomerName,Product,Category,SubCategory,Qty,Price,Region,State,City,PaymentMethod,ReturnFlag,SalesRep
ORD-1001,2024-01-03,CUST-201,Amit Sharma,Wireless Headphones,Electronics,Audio,1,2499,North,Delhi,New Delhi,UPI,No,Rajesh Kumar
ORD-1002,2024-01-04,CUST-342,Priya Patel,Running Shoes,Footwear,Sports,2,1899,West,Maharashtra,Mumbai,Credit Card,No,Sneha Joshi
ORD-1003,2024-01-05,CUST-115,Rahul Verma,Cotton T-Shirt,Clothing,Men,3,599,South,Karnataka,Bengaluru,Debit Card,No,Arjun Nair
ORD-1004,2024-01-06,CUST-478,Sunita Reddy,Yoga Mat,Sports,Fitness,1,1199,South,Telangana,Hyderabad,UPI,No,Arjun Nair
ORD-1005,2024-01-07,CUST-203,Vikram Singh,Laptop Bag,Bags,Laptop,1,1599,North,Delhi,New Delhi,Net Banking,No,Rajesh Kumar
ORD-1006,2024-01-08,CUST-561,Anjali Gupta,Face Moisturizer,Beauty,Skincare,2,849,East,West Bengal,Kolkata,COD,Yes,Meena Das
ORD-1007,2024-01-09,CUST-389,Kiran Rao,Bluetooth Speaker,Electronics,Audio,1,3299,South,Karnataka,Bengaluru,Credit Card,No,Arjun Nair
ORD-1008,2024-01-10,CUST-102,Deepak Mehta,Stainless Steel Bottle,Kitchen,Drinkware,2,499,West,Gujarat,Ahmedabad,UPI,No,Sneha Joshi
ORD-1009,2024-01-11,CUST-445,Kavya Nair,Formal Shirt,Clothing,Men,1,1299,South,Kerala,Kochi,Debit Card,No,Arjun Nair
ORD-1010,2024-01-12,CUST-317,Sanjay Bose,Smartwatch,Electronics,Wearables,1,8999,East,West Bengal,Kolkata,Credit Card,No,Meena Das
ORD-1011,2024-01-14,CUST-228,Pooja Tiwari,Kurta Set,Clothing,Women,2,1799,North,Uttar Pradesh,Lucknow,COD,No,Rajesh Kumar
ORD-1012,2024-01-15,CUST-534,Arun Kumar,Protein Powder,Health,Supplements,1,2199,South,Tamil Nadu,Chennai,UPI,No,Arjun Nair
ORD-1013,2024-01-16,CUST-162,Nisha Jain,Lip Balm Set,Beauty,Lips,3,349,West,Rajasthan,Jaipur,Debit Card,No,Sneha Joshi
ORD-1014,2024-01-17,CUST-403,Manoj Pillai,Gaming Mouse,Electronics,Peripherals,1,1499,South,Kerala,Thiruvananthapuram,Net Banking,No,Arjun Nair
ORD-1015,2024-01-18,CUST-276,Rekha Sharma,Non-Stick Pan,Kitchen,Cookware,1,1099,North,Haryana,Gurugram,UPI,Yes,Rajesh Kumar
ORD-1016,2024-01-19,CUST-589,Alok Mishra,Casual Sneakers,Footwear,Casual,1,2299,East,Odisha,Bhubaneswar,COD,No,Meena Das
ORD-1017,2024-01-21,CUST-144,Divya Menon,Hair Dryer,Beauty,Haircare,1,1799,South,Karnataka,Bengaluru,Credit Card,No,Arjun Nair
ORD-1018,2024-01-22,CUST-361,Suresh Patil,Dumbbell Set,Sports,Fitness,1,3499,West,Maharashtra,Pune,UPI,No,Sneha Joshi
ORD-1019,2024-01-23,CUST-419,Geeta Agarwal,Printed Saree,Clothing,Women,1,2499,North,Rajasthan,Jaipur,Net Banking,No,Rajesh Kumar
ORD-1020,2024-01-24,CUST-237,Rohit Chauhan,USB-C Hub,Electronics,Accessories,2,1299,North,Delhi,New Delhi,UPI,No,Rajesh Kumar
ORD-1021,2024-01-25,CUST-512,Lakshmi Iyer,Resistance Bands,Sports,Fitness,2,599,South,Tamil Nadu,Chennai,Debit Card,No,Arjun Nair
ORD-1022,2024-01-26,CUST-183,Naveen Garg,Coffee Maker,Kitchen,Appliances,1,3999,West,Maharashtra,Mumbai,Credit Card,Yes,Sneha Joshi
ORD-1023,2024-01-28,CUST-468,Seema Yadav,Vitamin C Serum,Beauty,Skincare,1,999,North,Uttar Pradesh,Kanpur,COD,No,Rajesh Kumar
ORD-1024,2024-01-29,CUST-325,Tarun Bhatia,Mechanical Keyboard,Electronics,Peripherals,1,4599,North,Punjab,Chandigarh,Net Banking,No,Rajesh Kumar
ORD-1025,2024-01-30,CUST-596,Usha Pillai,Wooden Serving Board,Kitchen,Dining,2,799,South,Kerala,Kochi,UPI,No,Arjun Nair
ORD-1026,2024-02-01,CUST-141,Pradeep Nair,Slim Fit Jeans,Clothing,Men,1,1799,South,Karnataka,Bengaluru,Debit Card,No,Arjun Nair
ORD-1027,2024-02-02,CUST-374,Meena Pillai,Face Wash,Beauty,Skincare,3,449,South,Tamil Nadu,Coimbatore,UPI,No,Arjun Nair
ORD-1028,2024-02-03,CUST-209,Arjun Sethi,Cricket Bat,Sports,Cricket,1,2999,West,Maharashtra,Mumbai,Credit Card,No,Sneha Joshi
ORD-1029,2024-02-05,CUST-453,Bharti Saxena,Floral Dress,Clothing,Women,1,1599,North,Delhi,New Delhi,COD,No,Rajesh Kumar
ORD-1030,2024-02-06,CUST-128,Gopal Tiwari,Pressure Cooker,Kitchen,Cookware,1,1899,East,Bihar,Patna,UPI,No,Meena Das
ORD-1031,2024-02-07,CUST-487,Ritu Sharma,Wireless Earbuds,Electronics,Audio,1,2799,North,Haryana,Faridabad,Net Banking,No,Rajesh Kumar
ORD-1032,2024-02-08,CUST-263,Sunil Verma,Badminton Racket,Sports,Badminton,2,1299,North,Uttar Pradesh,Agra,Debit Card,No,Rajesh Kumar
